,search_position
0,abstractor
1,account executive
2,accountant
3,accountant cost
4,accountant systems
5,accountant tax
6,accounting clerk
7,acrobat
8,acupuncturist
9,administrative assistant
10,administrative clerk
11,aeronautical design engineer
12,agricultural research engineer
13,air analyst
14,air conditioning mechanic
15,airframe and power plant mechanic
16,airport engineer
17,anesthesiologist
18,appointment clerk
19,arbitrator
20,architect
21,art director
22,art therapist
23,assembler
24,assembler product
25,assembler unit
26,assembly technician
27,assistant construction superintendent
28,assistant principal
29,athletic trainer
30,auditor
31,auditor internal
32,automatic equipment technician
33,automobile detailer
34,automobile mechanic
35,auxiliary equipment operator
36,baker
37,baker apprentice
38,baker helper
39,balance assembler
40,bar attendant
41,barber
42,bartender
43,beach lifeguard
44,billing clerk
45,biochemistry technologist
46,biologist
47,bookkeeper
48,bookmobile driver
49,bouncer
50,bridge inspector
51,budget analyst
52,budget officer
53,building consultant
54,bus inspector
55,butcher apprentice
56,buyer
57,buyer assistant
58,cable television installer
59,car hop
60,car inspector
61,card player
62,cardiac monitor technician
63,cardiologist
64,career guidance technician
65,cargo checker
66,cashier
67,cement mason
68,central office equipment engineer
69,certification and selection specialist
70,change person
71,chart clerk
72,charter
73,chauffeur
74,check cashier
75,chef
76,chemical engineer
77,chemist
78,chief computer programmer
79,chief engineer
80,christian science nurse
81,circulation sales representative
82,civil engineer
83,civil engineering technician
84,claim examiner
85,claims clerk
86,cleaner
87,clergy member
88,clerk general
89,clinical psychologist
90,clinical therapist
91,coach driver
92,color maker
93,commercial engineer
94,communication center operator
95,communications consultant
96,computer operator
97,computer programmer
98,computer security specialist
99,computer systems hardware analyst
100,conductor
101,consultant education
102,contact clerk
103,container coordinator
104,contract administrator
105,contract specialist
106,control operator
107,controller
108,controls designer
109,cook
110,cook apprentice
111,coordinator rehabilitation services
112,cost and sales record supervisor
113,counselor
114,counselor marriage and family
115,counter hand
116,counter supervisor
117,court clerk
118,creative director
119,credit authorizer
120,credit card clerk
121,credit counselor
122,critic
123,customer equipment engineer
124,customer facilities supervisor
125,customer service representative
126,customer services coordinator
127,cutter
128,dancer
129,data base administrator
130,data communications analyst
131,data entry clerk
132,dental assistant
133,dentist
134,dermatologist
135,designer
136,developer
137,development mechanic
138,dialysis technician
139,dining room attendant
140,director athletic
141,director education
142,director educational program
143,director nursing service
144,director religious activities
145,director research
146,director school nursing
147,director social
148,director stage
149,director technical
150,director translation
151,dispatcher
152,distribution field engineer
153,dock hand
154,documentation engineer
155,documentation supervisor
156,double
157,driver
158,driver supervisor
159,drummer
160,dye house supervisor
161,economist
162,editorial assistant
163,educational resource coordinator
164,educational specialist
165,electrical design engineer
166,electrical engineer
167,electrical inspector
168,electrical installation supervisor
169,electrical research engineer
170,electrical supervisor
171,electrical technician
172,electrical test engineer
173,electrician
174,electrician supervisor
175,electromechanical technician
176,electronics test engineer
177,electronics worker
178,emergency medical services coordinator
179,emergency medical technician
180,employee relations specialist
181,endodontist
182,engineer system development
183,environmental analyst
184,equal opportunity representative
185,equipment cleaner
186,extra
187,facilities planner
188,faculty member college university
189,family practitioner
190,field contractor
191,field engineer specialist
192,field representative
193,field service technician
194,financial planner
195,finishing inspector
196,fitter
197,food service driver
198,food service supervisor
199,fountain server
200,garde manger
201,genealogist
202,general practitioner
203,geologist
204,goodwill ambassador
205,graduate assistant
206,grant coordinator
207,group sales representative
208,guard security
209,guide
210,guide travel
211,gynecologist
212,hair stylist
213,handler
214,head coach
215,headwaiter headwaitress
216,hearing officer
217,historic site administrator
218,home attendant
219,host hostess
220,housekeeper
